Displacement_0,Displacement_1,Displacement_2,PK1Stress_0,PK1Stress_1,PK1Stress_2,PK1Stress_3,PK1Stress_4,PK1Stress_5,PK1Stress_6,PK1Stress_7,PK1Stress_8
-0.0915955,-0.773553,0,-463.286,131.419,0,131.419,189.235,0,0,0,-90.4368
-0.0913598,-0.726936,0,-266.954,94.4135,0,94.4135,156.386,0,0,0,-36.4875
-0.090685,-0.684885,0,-110.098,66.3075,0,66.3075,133.905,0,0,0,7.85636
-0.089412,-0.646528,0,-3.38319,51.5218,0,51.5218,112.755,0,0,0,36.0928
-0.0877907,-0.611288,0,84.1318,40.9368,0,40.9368,97.3223,0,0,0,59.8799
-0.0858495,-0.578697,0,152.676,33.6685,0,33.6685,84.7588,0,0,0,78.3535
-0.0836639,-0.548406,0,208.96,28.0233,0,28.0233,74.824,0,0,0,93.6487
-0.0812677,-0.520137,0,255.221,23.6405,0,23.6405,66.7012,0,0,0,106.234
-0.0786982,-0.493664,0,293.816,20.0715,0,20.0715,60.0167,0,0,0,116.765
-0.0759828,-0.468805,0,326.057,17.1302,0,17.1302,54.4002,0,0,0,125.551
-0.0731459,-0.445405,0,353.113,14.6609,0,14.6609,49.6328,0,0,0,132.906
-0.0702077,-0.423332,0,375.813,12.567,0,12.567,45.5354,0,0,0,139.045
-0.0671862,-0.402476,0,394.838,10.7718,0,10.7718,41.9805,0,0,0,144.15
-0.0640964,-0.38274,0,410.721,9.22022,0,9.22022,38.8688,0,0,0,148.365
-0.0609519,-0.364037,0,423.901,7.86867,0,7.86867,36.1246,0,0,0,151.808
-0.0577642,-0.346295,0,434.736,6.68332,0,6.68332,33.6878,0,0,0,154.58
-0.0545438,-0.329446,0,443.525,5.63715,0,5.63715,31.5108,0,0,0,156.762
-0.0512997,-0.313431,0,450.515,4.7085,0,4.7085,29.5551,0,0,0,158.423
-0.04804,-0.298199,0,455.916,3.87979,0,3.87979,27.7891,0,0,0,159.623
-0.0447721,-0.2837,0,459.906,3.13662,0,3.13662,26.187,0,0,0,160.411
-0.0415025,-0.269892,0,462.637,2.46714,0,2.46714,24.7272,0,0,0,160.83
-0.0382371,-0.256736,0,464.239,1.86152,0,1.86152,23.3917,0,0,0,160.918
-0.0349812,-0.244194,0,464.825,1.31154,0,1.31154,22.1652,0,0,0,160.707
-0.0317396,-0.232235,0,464.494,0.81028,0,0.81028,21.0348,0,0,0,160.225
-0.0285168,-0.220829,0,463.331,0.351917,0,0.351917,19.9894,0,0,0,159.496
-0.0253167,-0.209946,0,461.411,-0.0685151,0,-0.0685151,19.0195,0,0,0,158.542
-0.0221431,-0.199561,0,458.801,-0.455256,0,-0.455256,18.117,0,0,0,157.383
-0.0189994,-0.189651,0,455.559,-0.811947,0,-0.811947,17.2746,0,0,0,156.035
-0.0158887,-0.180191,0,451.737,-1.14173,0,-1.14173,16.4863,0,0,0,154.514
-0.0128139,-0.171162,0,447.383,-1.44732,0,-1.44732,15.7466,0,0,0,152.833
-0.00977767,-0.162544,0,442.537,-1.73108,0,-1.73108,15.0507,0,0,0,151.004
-0.00678246,-0.154318,0,437.238,-1.9951,0,-1.9951,14.3945,0,0,0,149.039
-0.00383057,-0.146467,0,431.519,-2.24118,0,-2.24118,13.7742,0,0,0,146.947
-0.000924166,-0.138974,0,425.41,-2.47092,0,-2.47092,13.1865,0,0,0,144.737
0.00193477,-0.131824,0,418.94,-2.68573,0,-2.68573,12.6285,0,0,0,142.418
0.00474437,-0.125001,0,412.134,-2.88686,0,-2.88686,12.0975,0,0,0,139.996
0.0075029,-0.118493,0,405.014,-3.07542,0,-3.07542,11.5912,0,0,0,137.48
0.0102087,-0.112285,0,397.602,-3.25238,0,-3.25238,11.1075,0,0,0,134.874
0.0128603,-0.106365,0,389.917,-3.41863,0,-3.41863,10.6444,0,0,0,132.185
0.0154563,-0.10072,0,381.978,-3.57494,0,-3.57494,10.2003,0,0,0,129.419
0.0179952,-0.0953394,0,373.799,-3.72201,0,-3.72201,9.77344,0,0,0,126.579
0.0204759,-0.0902113,0,365.397,-3.86044,0,-3.86044,9.3625,0,0,0,123.671
0.0228972,-0.085325,0,356.786,-3.99078,0,-3.99078,8.96613,0,0,0,120.698
0.0252579,-0.0806702,0,347.979,-4.11351,0,-4.11351,8.58312,0,0,0,117.665
0.0275569,-0.0762368,0,338.988,-4.22903,0,-4.22903,8.21237,0,0,0,114.576
0.0297934,-0.0720152,0,329.826,-4.3377,0,-4.3377,7.85284,0,0,0,111.434
0.0319664,-0.0679959,0,320.502,-4.43982,0,-4.43982,7.5036,0,0,0,108.242
0.034075,-0.0641698,0,311.029,-4.53563,0,-4.53563,7.16375,0,0,0,105.004
0.0361184,-0.0605281,0,301.416,-4.62532,0,-4.62532,6.83249,0,0,0,101.722
0.0380959,-0.057062,0,291.672,-4.70903,0,-4.70903,6.50905,0,0,0,98.3999
0.0400067,-0.0537633,0,281.809,-4.78684,0,-4.78684,6.19272,0,0,0,95.0407
0.0418502,-0.0506237,0,271.836,-4.85878,0,-4.85878,5.88284,0,0,0,91.6472
0.0436259,-0.047635,0,261.762,-4.92483,0,-4.92483,5.5788,0,0,0,88.2224
0.0453331,-0.0447894,0,251.597,-4.98489,0,-4.98489,5.28002,0,0,0,84.7694
0.0469714,-0.0420791,0,241.352,-5.03883,0,-5.03883,4.98596,0,0,0,81.2914
0.0485403,-0.0394965,0,231.036,-5.08644,0,-5.08644,4.69613,0,0,0,77.7916
0.0500396,-0.037034,0,220.661,-5.12744,0,-5.12744,4.41008,0,0,0,74.2734
0.0514688,-0.0346843,0,210.238,-5.16149,0,-5.16149,4.12738,0,0,0,70.7406
0.0528279,-0.0324399,0,199.78,-5.18817,0,-5.18817,3.84766,0,0,0,67.1971
0.0541165,-0.0302935,0,189.299,-5.20699,0,-5.20699,3.5706,0,0,0,63.647
0.0553347,-0.028238,0,178.81,-5.21737,0,-5.21737,3.29591,0,0,0,60.0951
0.0564825,-0.0262661,0,168.329,-5.21864,0,-5.21864,3.02336,0,0,0,56.5462
0.0575599,-0.0243709,0,157.871,-5.21001,0,-5.21001,2.75279,0,0,0,53.0059
0.0585673,-0.0225451,0,147.456,-5.19063,0,-5.19063,2.48408,0,0,0,49.4802
0.059505,-0.0207817,0,137.103,-5.15952,0,-5.15952,2.21723,0,0,0,45.9756
0.0603734,-0.0190738,0,126.835,-5.11555,0,-5.11555,1.95228,0,0,0,42.4996
0.0611733,-0.0174144,0,116.675,-5.05752,0,-5.05752,1.68942,0,0,0,39.0603
0.0619053,-0.0157965,0,106.651,-4.98404,0,-4.98404,1.42894,0,0,0,35.6664
0.0625706,-0.0142133,0,96.7925,-4.89361,0,-4.89361,1.17128,0,0,0,32.328
0.0631702,-0.0126578,0,87.1316,-4.78456,0,-4.78456,0.917079,0,0,0,29.056
0.0637057,-0.0111234,0,77.7043,-4.65506,0,-4.65506,0.66717,0,0,0,25.8626
0.0641786,-0.00960327,0,68.5501,-4.50311,0,-4.50311,0.422666,0,0,0,22.761
0.064591,-0.00809087,0,59.7124,-4.32656,0,-4.32656,0.185004,0,0,0,19.7662
0.064945,-0.00657975,0,51.2389,-4.12307,0,-4.12307,-0.0439723,0,0,0,16.8943
0.0652433,-0.00506366,0,43.1818,-3.89018,0,-3.89018,-0.2619,0,0,0,14.1636
0.0654889,-0.00353657,0,35.5977,-3.62531,0,-3.62531,-0.465793,0,0,0,11.5935
0.0656851,-0.00199281,0,28.5484,-3.32583,0,-3.32583,-0.651835,0,0,0,9.20588
0.0658359,-0.000427117,0,22.1003,-2.98934,0,-2.98934,-0.815088,0,0,0,7.02413
0.0659457,0.00116523,0,16.324,-2.61362,0,-2.61362,-0.949176,0,0,0,5.07371
0.0660193,0.00278824,0,11.2914,-2.19726,0,-2.19726,-1.04715,0,0,0,3.38062
0.0660622,0.00444495,0,7.08448,-1.74027,0,-1.74027,-1.09703,0,0,0,1.97586
0.0660807,0.00613721,0,3.76235,-1.2507,0,-1.2507,-1.08698,0,0,0,0.882873
0.0660817,0.00786529,0,1.35622,-0.713069,0,-0.713069,-1.0107,0,0,0,0.114024
0.0660716,0.00962707,0,0.007225,-0.219264,0,-0.219264,-0.815375,0,0,0,-0.26669
0.0660594,0.0114185,0,-0.103687,0.124718,0,0.124718,-0.226385,0,0,0,-0.108924
0.0660567,0.0132241,0,-0.0163253,0.206718,0,0.206718,0.0229557,0,0,0,0.00218803
0.06606,0.015032,0,-0.212585,0.303873,0,0.303873,-0.125734,0,0,0,-0.111645
