Displacement_0,Displacement_1,Displacement_2,PK1Stress_0,PK1Stress_1,PK1Stress_2,PK1Stress_3,PK1Stress_4,PK1Stress_5,PK1Stress_6,PK1Stress_7,PK1Stress_8
0.075768,-0.00734535,0,55.1663,-4.44628,0,-4.44628,-0.0480315,0,0,0,18.189
0.0760891,-0.00577547,0,46.4912,-4.19587,0,-4.19587,-0.282683,0,0,0,15.2488
0.0763535,-0.00419375,0,38.3249,-3.91098,0,-3.91098,-0.502261,0,0,0,12.4815
0.0765648,-0.00259406,0,30.7338,-3.58876,0,-3.58876,-0.702654,0,0,0,9.91029
0.0767271,-0.000970728,0,23.7897,-3.22664,0,-3.22664,-0.878541,0,0,0,7.56068
0.0768452,0.000681315,0,17.5686,-2.82222,0,-2.82222,-1.02306,0,0,0,5.46003
0.0769244,0.00236638,0,12.1481,-2.37404,0,-2.37404,-1.12873,0,0,0,3.63638
0.0769706,0.00408777,0,7.61631,-1.88207,0,-1.88207,-1.18268,0,0,0,2.1231
0.0769903,0.00584748,0,4.03715,-1.35505,0,-1.35505,-1.17224,0,0,0,0.945419
0.0769913,0.00764579,0,1.4445,-0.77647,0,-0.77647,-1.09071,0,0,0,0.11675
0.0769803,0.00948045,0,-0.00945048,-0.244875,0,-0.244875,-0.88195,0,0,0,-0.294162
0.076967,0.0113471,0,-0.132501,0.12628,0,0.12628,-0.253176,0,0,0,-0.127274
0.0769639,0.0132292,0,-0.0306721,0.220264,0,0.220264,0.0210869,0,0,0,-0.00316313
0.0769673,0.0151139,0,-0.22698,0.327338,0,0.327338,-0.137224,0,0,0,-0.120188
