Silling_buxiuzheng,,,,,,ANSYS,,,Wan_buxiuzheng,,,,,,,,,,,,Zhang_buxiuzheng,,,,
Points_0,Points_1,Points_2,Temperature,,,,,,Points_0,Points_1,Points_2,,Temperature,,Points_0,Points_1,Points_2,,Temperature,,Points_0,Points_1,Points_2,,Temperature
0,17.7079,0,14.6606,42.7079,14.6606,43.5,1.56E+01,,0,17.7079,0,42.7079,14.7324,,0,17.7079,0,42.7079,14.2555,,0,17.8886,0,42.8886,14.9925
0,18.1931,0,15.3646,43.1931,15.3646,44,1.64E+01,,0,18.1931,0,43.1931,15.4391,,0,18.1931,0,43.1931,14.8677,,0,18.3787,0,43.3787,15.7151
0,18.6782,0,16.0925,43.6782,16.0925,44.5,1.72E+01,,0,18.6782,0,43.6782,16.1698,,0,18.6782,0,43.6782,15.4982,,0,18.8688,0,43.8688,16.4623
0,19.1634,0,16.843,44.1634,16.843,45,1.80E+01,,0,19.1634,0,44.1634,16.9249,,0,19.1634,0,44.1634,16.1474,,0,19.3589,0,44.3589,17.2346
0,19.6485,0,17.6203,44.6485,17.6203,45.5,1.88E+01,,0,19.6485,0,44.6485,17.705,,0,19.6485,0,44.6485,16.8158,,0,19.849,0,44.849,18.0326
0,20.1337,0,18.4253,45.1337,18.4253,46,1.97E+01,,0,20.1337,0,45.1337,18.5096,,0,20.1337,0,45.1337,17.5026,,0,20.3391,0,45.3391,18.8553
0,20.6188,0,19.2489,45.6188,19.2489,46.5,2.06E+01,,0,20.6188,0,45.6188,19.3385,,0,20.6188,0,45.6188,18.2073,,0,20.8292,0,45.8292,19.7028
0,21.104,0,20.0861,46.104,20.0861,47,2.15E+01,,0,21.104,0,46.104,20.1941,,0,21.104,0,46.104,18.9335,,0,21.3193,0,46.3193,20.5795
0,21.5891,0,20.9955,46.5891,20.9955,47.5,2.24E+01,,0,21.5891,0,46.5891,21.0826,,0,21.5891,0,46.5891,19.6869,,0,21.8094,0,46.8094,21.4918
0,22.0743,0,21.9009,47.0743,21.9009,48,2.34E+01,,0,22.0743,0,47.0743,21.9785,,0,22.0743,0,47.0743,20.4382,,0,22.2995,0,47.2995,22.3942
0,22.5594,0,22.771,47.5594,22.771,48.5,2.44E+01,,0,22.5594,0,47.5594,22.8933,,0,22.5594,0,47.5594,21.1994,,0,22.7896,0,47.7896,23.3348
0,23.0446,0,23.651,48.0446,23.651,49,2.55E+01,,0,23.0446,0,48.0446,23.8737,,0,23.0446,0,48.0446,22.0466,,0,23.2797,0,48.2797,24.3636
0,23.5297,0,25.1267,48.5297,25.1267,49.5,2.65E+01,,0,23.5297,0,48.5297,25.0508,,0,23.5297,0,48.5297,23.155,,0,23.7698,0,48.7698,25.6818
0,24.0149,0,25.5385,49.0149,25.5385,50,2.76E+01,,0,24.0149,0,49.0149,25.6081,,0,24.0149,0,49.0149,23.7265,,0,24.2599,0,49.2599,25.6057
0,24.5,0,26.2027,49.5,26.2027,,,,0,24.5,0,49.5,26.4106,,0,24.5,0,49.5,24.8983,,0,24.75,0,49.75,27.2749
